Date,Open,High,Low,Close,Volume,Adj Close
4/28/2015,44.34,44.57,43.94,44.34,7188300,44.34
4/27/2015,44.65,45.1,44.25,44.36,10840900,44.36
4/24/2015,43.73,44.71,43.69,44.52,11267500,44.52
4/23/2015,43.92,44.06,43.58,43.7,14274900,43.7
4/22/2015,44.58,44.85,43.67,43.98,32241200,43.98
4/21/2015,,45.18,44.45,44.49,16103700,44.49
4/20/2015,44.73,44.91,44.41,44.66,10052900,44.66
4/17/2015,45.3,45.44,44.25,44.45,13305700,44.45
4/16/2015,45.82,,45.53,45.78,13800300,45.78
4/15/2015,45.46,45.83,45.23,45.73,15033500,45.73
4/14/2015,44.82,,44.79,45.53,12365800,45.53
4/13/2015,45.25,,44.72,44.77,8837300,44.77
4/10/2015,45.79,,45,45.18,8436400,45.18
4/9/2015,45.7,,45.16,45.63,13678000,45.63
4/8/2015,43.86,,43.8,45.17,16071000,45.17
4/7/2015,43.79,,43.56,43.61,11382000,43.61
4/6/2015,43.82,,43.61,43.67,10717000,43.67
4/2/2015,44.24,,43.68,44.15,12229400,44.15
4/1/2015,44.45,,43.95,44.13,14722300,44.13
3/31/2015,44.82,,44.42,44.44,10415500,44.44
3/30/2015,45.36,,44.82,44.95,8884300,44.95
3/27/2015,45.2,,45.01,45.1,20563500,45.1
3/26/2015,43.78,44.67,43.68,44.47,16162900,44.47
3/25/2015,44.59,44.93,44.13,44.2,14036900,44.2
3/24/2015,44.64,44.78,44.28,44.42,7559100,44.42
3/23/2015,45.25,45.54,44.71,44.72,8268800,44.72
3/20/2015,45.37,45.58,44.91,45.04,14194200,45.04
3/19/2015,44.9,45.45,44.81,44.98,14758000,44.98
3/18/2015,43.58,44.71,43.43,44.67,18919900,44.67
3/17/2015,43.54,44.16,43.46,43.79,9656200,43.79
3/16/2015,42.93,43.88,42.75,43.51,11376400,43.51
3/13/2015,42.84,42.98,42.44,42.87,9087000,42.87
3/12/2015,42.7,43.36,42.58,42.95,8384800,42.95
3/11/2015,42.77,42.99,42.36,42.5,10007300,42.5
3/10/2015,42.57,42.92,42.18,42.68,10600700,42.68
3/9/2015,43.6,43.93,42.67,42.98,11801900,42.98
3/6/2015,43.98,44.24,43.4,43.44,11888000,43.44
3/5/2015,44.18,44.31,43.5,44.16,11867700,44.16
3/4/2015,42.08,44.38,41.97,43.99,30098500,43.99
3/3/2015,43.7,43.95,42.42,42.62,22392400,42.62
3/2/2015,44.06,44.43,43.7,44.11,11027300,44.11
2/27/2015,44.38,44.57,44.05,44.28,10044200,44.28
2/26/2015,44.6,44.76,44.26,44.45,9223800,44.45
2/25/2015,43.21,44.72,43.21,44.43,17922900,44.43
2/24/2015,43.45,43.52,42.91,43.38,9797500,43.38
2/23/2015,43.99,43.99,43.42,43.53,12129100,43.53
2/20/2015,44.3,44.36,43.76,44.11,12036200,44.11
2/19/2015,43.65,44.42,43.5,44.37,13301000,44.37
2/18/2015,43.56,43.82,43.3,43.65,10410700,43.65
2/17/2015,44.37,44.54,43.35,43.53,12798400,43.53
2/13/2015,44.12,44.59,44,44.42,13785800,44.42
2/12/2015,43.07,44.16,42.86,43.93,18158200,43.93
2/11/2015,43.18,43.26,42.76,42.96,9791100,42.96
2/10/2015,42.9,43.18,42.66,43.07,12160800,43.07
2/9/2015,42.61,43.15,42.54,42.57,15507600,42.57
2/6/2015,43.57,43.66,42.67,42.94,16005100,42.94
2/5/2015,44.08,44.26,43.03,43.55,18414500,43.55
2/4/2015,44.8,44.98,43.88,44.05,16281400,44.05
2/3/2015,45.1,45.25,44.38,44.7,16985900,44.7
2/2/2015,44.43,44.76,43.88,44.69,20305700,44.69
1/30/2015,43.75,44.85,43.51,43.99,36033600,43.99
1/29/2015,43.56,43.8,41.8,43.73,74370100,43.73
1/28/2015,49.8,50.32,46.3,46.46,84839700,46.46
1/27/2015,49.14,49.28,47.66,47.99,45777200,47.99
1/26/2015,49.57,49.79,49.07,49.44,18976400,49.44
1/23/2015,48.74,49.23,48.63,48.95,14294300,48.95
1/22/2015,48.43,49.08,48.01,48.89,12647400,48.89
1/21/2015,47.6,48.38,47.32,48.18,16305100,48.18
1/20/2015,46.79,47.89,46.77,47.63,15845900,47.63
1/16/2015,46.06,46.59,45.85,46.47,14681800,46.47
1/15/2015,47.54,47.75,46.2,46.23,17126000,46.23
1/14/2015,47.7,48.09,47.07,47.51,15911600,47.51
1/13/2015,49.15,49.48,47.4,48.3,21605200,48.3
1/12/2015,49.92,49.93,48.56,48.8,10170700,48.8
1/9/2015,50.28,50.41,49.62,49.72,7462800,49.72
1/8/2015,48.99,50.23,48.72,50.23,14704800,50.23
1/7/2015,49.62,49.64,48.51,48.59,11788000,48.59
1/6/2015,49.2,49.88,48.33,49.21,16204300,49.21
1/5/2015,49.71,49.88,48.91,49.13,14389300,49.13
1/2/2015,50.66,50.78,49.47,50.17,11924500,50.17
12/31/2014,51.54,51.68,50.46,50.51,9305000,50.51
12/30/2014,50.35,51.27,50.35,51.22,10703500,51.22
12/29/2014,50.67,51.01,50.51,50.53,6624500,50.53
12/26/2014,50.65,51.06,50.61,50.86,5169700,50.86
12/24/2014,50.19,50.92,50.19,50.65,5961900,50.65
12/23/2014,51.46,51.46,49.93,50.02,15514000,50.02
12/22/2014,50.99,51.6,50.95,51.15,24021100,51.15
12/19/2014,51.06,51.47,50.83,50.88,24110200,50.88
12/18/2014,50.93,51.15,50.44,50.91,15338900,50.91
12/17/2014,49.02,50.25,48.9,50.12,17112300,50.12
12/16/2014,49.5,50.08,48.81,48.85,21399300,48.85
12/15/2014,50.42,50.92,49.5,49.82,18132500,49.82
12/12/2014,49.54,51.17,49.48,50.24,20370500,50.24
12/11/2014,49.54,50.58,49.43,49.94,21100200,49.94
12/10/2014,50.33,50.69,49.19,49.21,16184100,49.21
12/9/2014,48.75,50.53,48.29,50.51,19655600,50.51
12/8/2014,50.52,50.9,49.22,49.62,18190100,49.62
12/5/2014,51.03,51.25,50.51,50.99,15418100,50.99
12/4/2014,50.19,50.67,49.9,50.41,12136700,50.41
12/3/2014,50.71,50.97,50.2,50.28,14236000,50.28
12/2/2014,50.27,51.12,50.01,50.67,16099900,50.67
12/1/2014,51.43,51.43,49.66,50.1,23146900,50.1
11/28/2014,51.87,52,51.64,51.74,8913700,51.74
11/26/2014,51.56,52.26,51.52,51.93,13428500,51.93
11/25/2014,51.98,52.19,51.6,51.72,14219600,51.72
11/24/2014,51.25,51.83,51.07,51.83,14643500,51.83
11/21/2014,51.99,52.25,50.99,51.04,22225300,51.04
11/20/2014,50.6,52.23,50.27,51.25,28916000,51.25
11/19/2014,51.24,51.37,50,50.58,29260000,50.58
11/18/2014,52.28,52.62,51.34,51.75,26847300,51.75
11/17/2014,51.83,52.42,50.94,52.37,38392800,52.37
11/14/2014,50.52,51.95,50.47,51.75,28824700,51.75
11/13/2014,50.96,51.17,49.95,50.5,35513400,50.5
11/12/2014,49.33,50.63,49.22,50.6,30564700,50.6
11/11/2014,48.57,49.18,48.1,49.05,31586300,49.05
11/10/2014,48.8,49.63,48.79,49.41,24730300,49.41
11/7/2014,47.9,48.67,47.86,48.55,24166700,48.55
11/6/2014,47.37,47.98,46.6,47.93,22636000,47.93
11/5/2014,47.62,48.28,47.32,47.46,33021500,47.46
11/4/2014,45.99,47.13,45.74,47.08,25051500,47.08
11/3/2014,46.05,46.72,45.94,46.34,17181500,46.34
10/31/2014,46.16,46.52,45.67,46.05,18446800,46.05
10/30/2014,45.21,45.84,45.13,45.63,16205500,45.63
10/29/2014,45.94,45.98,45.13,45.43,25389100,45.43
10/28/2014,45.01,46.15,44.88,45.87,36834900,45.87
10/27/2014,43.31,44.82,43.29,44.7,36596500,44.7
10/24/2014,42.53,43.65,42.4,43.5,33805800,43.5
10/23/2014,42.4,42.83,42.26,42.6,30653400,42.6
10/22/2014,42.42,42.88,41.77,42,69348900,42
10/21/2014,39.65,40.48,39.46,40.18,41955200,40.18
10/20/2014,38.47,39.4,38.25,39.28,17802400,39.28
10/17/2014,38.74,38.98,38.31,38.45,24107000,38.45
10/16/2014,36.95,38.5,36.92,38.12,26998500,38.12
10/15/2014,37.27,38.08,36.2,37.82,41973500,37.82
10/14/2014,38.66,39,37.71,37.97,38509000,37.97
10/13/2014,39.52,40.07,38.29,38.38,38841900,38.38
10/10/2014,40.73,41.07,39.59,39.6,36771500,39.6
10/9/2014,40.9,41.25,40.42,41.1,33519600,41.1
10/8/2014,41,41.29,40.1,41.08,26593500,41.08
10/7/2014,41.06,41.29,40.78,40.93,22538300,40.93
10/6/2014,41.2,41.73,41.04,41.52,23576100,41.52
10/3/2014,40.79,41.69,40.65,41.03,38191700,41.03
10/2/2014,40.24,40.64,39.69,40.5,24584400,40.5
10/1/2014,40.66,41.24,40.11,40.32,35172900,40.32
9/30/2014,40.58,41.23,40.44,40.75,30386500,40.75
9/29/2014,40.41,41.09,40.16,40.52,35883300,40.52
9/26/2014,39.01,40.8,39,40.66,62189200,40.66
9/25/2014,39.56,39.8,38.82,38.95,35916500,38.95
9/24/2014,39.26,40.1,38.91,39.88,49014100,39.88
9/23/2014,38.15,39.27,37.9,39.05,66105300,39.05
9/22/2014,39.77,40.04,38.22,38.65,109217100,38.65
9/19/2014,42.44,43.19,39.55,40.93,233872100,40.93
9/18/2014,43.05,43.32,41.42,42.09,93702100,42.09
9/17/2014,42.37,42.96,42.3,42.59,39495500,42.59
9/16/2014,42.61,42.96,41.69,42.71,61490700,42.71
9/15/2014,43.98,44.01,42.14,42.55,72409900,42.55
9/12/2014,41.73,43.2,41.5,42.88,69745500,42.88
9/11/2014,41.02,41.56,40.93,41.26,25203000,41.26
9/10/2014,41.05,41.23,40.33,41.14,30741800,41.14
9/9/2014,42.01,42.06,40.6,40.78,52683000,40.78
9/8/2014,40.34,41.82,40.26,41.81,75520200,41.81
9/5/2014,39.05,39.8,39.05,39.59,26200400,39.59
9/4/2014,39.14,39.34,38.96,39.19,14763300,39.19
9/3/2014,39.49,39.6,38.69,38.87,16092900,38.87
9/2/2014,38.9,39.3,38.79,39.27,19803300,39.27
8/29/2014,38.57,38.67,38.2,38.51,11634100,38.51
8/28/2014,38.09,38.57,37.9,38.31,16490600,38.31
8/27/2014,38.3,38.72,37.83,38.18,24843000,38.18
8/26/2014,37.76,37.92,37.56,37.79,9516800,37.79
8/25/2014,38.14,38.22,37.54,37.71,14356400,37.71
8/22/2014,37.7,38.2,37.64,38.01,14879100,38.01
8/21/2014,37.65,37.75,37.31,37.64,12254900,37.64
8/20/2014,37.61,37.75,37.31,37.5,12670300,37.5
8/19/2014,37.56,37.94,37.5,37.83,17084900,37.83
8/18/2014,36.77,37.77,36.75,37.38,20153200,37.38
8/15/2014,36.2,36.57,36.12,36.47,13338900,36.47
8/14/2014,36.32,36.42,36.17,36.36,8927300,36.36
8/13/2014,35.96,36.45,35.77,36.19,16532300,36.19
8/12/2014,35.8,35.99,35.15,35.52,12902700,35.52
8/11/2014,36.1,36.15,35.75,35.79,8660100,35.79
8/8/2014,35.73,35.96,35.4,35.91,10593700,35.91
8/7/2014,36,36,35.53,35.66,11306600,35.66
8/6/2014,35.58,35.94,35.44,35.79,11770500,35.79
8/5/2014,36.32,36.42,35.62,35.7,17636400,35.7
8/4/2014,35.71,36.66,35.65,36.53,13097200,36.53
8/1/2014,35.69,36.08,35.31,35.62,14573000,35.62
7/31/2014,36.26,36.49,35.68,35.81,17937400,35.81
7/30/2014,35.94,36.99,35.8,36.6,29876700,36.6
7/29/2014,35.91,36.16,35.67,35.68,11570900,35.68
7/28/2014,36.23,36.23,35.51,35.9,14607200,35.9
7/25/2014,36,36.33,35.75,36.12,20143800,36.12
7/24/2014,35.09,36.55,35.04,36.17,47391000,36.17
7/23/2014,33.78,34.92,33.68,34.71,38622500,34.71
7/22/2014,33.48,33.84,33.4,33.6,18153600,33.6
7/21/2014,33.35,33.64,33.16,33.28,18431000,33.28
7/18/2014,33.18,33.35,32.93,33.33,21540900,33.33
7/17/2014,33.82,33.9,32.98,33.21,37535900,33.21
7/16/2014,34.42,34.45,33.72,33.79,56260600,33.79
7/15/2014,35.72,35.94,35.2,35.61,36316600,35.61
7/14/2014,35.8,35.95,35.45,35.7,18680500,35.7
7/11/2014,34.95,35.56,34.78,35.43,18379500,35.43
7/10/2014,34.33,34.97,34.1,34.93,18064800,34.93
7/9/2014,34.68,35.07,34.68,34.85,12626900,34.85
7/8/2014,35.64,35.66,34.28,34.53,23096900,34.53
7/7/2014,36.15,36.23,35.48,35.52,15716800,35.52
7/3/2014,36.07,36.15,35.9,36.14,8604900,36.14
7/2/2014,35.62,35.91,35.4,35.88,16533600,35.88
7/1/2014,35.5,35.7,35.21,35.35,18609600,35.35
6/30/2014,34.93,35.26,34.85,35.13,20450100,35.13
6/27/2014,33.85,34.55,33.7,34.25,25500600,34.25
6/26/2014,33.25,33.75,33.02,33.66,16010000,33.66
6/25/2014,33.38,33.65,33.1,33.25,18074400,33.25
6/24/2014,33.79,33.99,33.35,33.48,14589800,33.48
6/23/2014,34.13,34.22,33.37,33.64,26206400,33.64
6/20/2014,34.81,34.81,33.97,34.05,21605800,34.05
6/19/2014,35.14,35.2,34.52,34.68,16200000,34.68
6/18/2014,34.67,35.01,34.26,34.94,17836000,34.94
6/17/2014,34.8,34.94,34.3,34.43,24402900,34.43
6/16/2014,35,35.49,34.77,34.81,32432300,34.81
6/13/2014,36.88,37.06,36.64,36.94,12926300,36.94
6/12/2014,36.5,36.79,36.34,36.78,12466100,36.78
6/11/2014,36.25,36.84,36.11,36.63,13321500,36.63
6/10/2014,35.87,36.52,35.86,36.31,9179300,36.31
6/9/2014,35.86,36.32,35.54,36.04,14390000,36.04
6/6/2014,35.06,36.08,35.05,35.92,18707200,35.92
6/5/2014,34.79,34.99,34.36,34.94,11192800,34.94
6/4/2014,34.48,34.83,34.26,34.73,9434100,34.73
6/3/2014,34.8,34.97,34.58,34.65,6557500,34.65
6/2/2014,34.69,34.95,34.28,34.87,9178900,34.87
5/30/2014,34.92,34.93,34.13,34.65,13153000,34.65
5/29/2014,34.9,35.1,34.67,34.9,9780800,34.9
5/28/2014,35.15,35.17,34.42,34.78,16960500,34.78
5/27/2014,35,35.13,34.73,35.12,13057000,35.12
5/23/2014,34.85,35.08,34.51,35.02,16294400,35.02
